privada	aplicaciones	ingresantes	estudiantes	top10	cuota	prof_dr	razon	tasa_grad
Si	1.66	0.721	2.885	23	7.44	70	18.1	60
Si	2.186	0.512	2.683	16	12.28	29	12.2	56
Si	1.428	0.336	1.036	22	11.25	53	12.9	54
Si	0.417	0.137	0.51	60	12.96	92	7.7	59
Si	0.193	0.055	0.249	16	7.56	76	11.9	15
Si	0.587	0.158	0.678	38	13.5	67	9.4	55
Si	0.353	0.103	0.416	17	13.29	90	11.5	63
Si	1.899	0.489	1.594	37	13.868	89	13.7	73
Si	1.038	0.227	0.973	30	15.595	79	11.3	80
Si	0.582	0.172	0.799	21	10.468	40	11.5	52
Si	1.732	0.472	1.83	37	16.548	82	11.3	73
Si	2.652	0.484	1.707	44	17.08	73	9.9	76
Si	1.179	0.29	1.13	38	9.69	60	13.3	74
Si	1.267	0.385	1.306	44	12.572	79	15.3	68
Si	0.494	0.157	1.317	23	8.352	36	11.1	55
Si	1.42	0.22	1.018	9	8.7	78	14.7	69
Si	4.302	0.418	1.593	83	19.76	93	8.4	100
Si	1.216	0.423	1.819	19	10.1	48	12.1	59
Si	1.13	0.322	1.586	14	9.996	62	11.5	46
No	3.54	1.016	4.19	24	5.13	60	23.1	34
Si	0.713	0.252	0.712	25	15.476	69	11.3	48
No	7.313	1.91	9.94	20	6.806	83	18.3	70
Si	0.619	0.219	1.251	20	11.208	55	12.7	65
No	12.809	3.761	22.593	24	7.434	88	18.9	48
Si	0.708	0.166	0.53	46	8.644	79	12.6	54
No	1.734	0.951	3.602	12	3.46	57	19.6	48
Si	2.135	0.491	1.708	23	12	93	13.8	88
No	7.548	3.07	16.262	25	6.3	85	16.7	69
Si	0.662	0.257	2.074	12	11.902	65	12.8	58
Si	1.879	0.497	1.95	36	13.353	78	12.7	71
Si	0.761	0.306	1.337	21	10.99	66	10.4	69
Si	0.948	0.295	1.12	42	11.28	81	13	71
Si	0.627	0.172	0.777	16	9.925	59	22.4	48
Si	0.602	0.206	0.958	21	8.62	58	11	65
Si	1.69	0.662	2.718	30	10.995	68	17.6	85
Si	0.261	0.111	0.453	15	9.69	57	9.7	71
Si	1.91	0.285	1.004	50	19.264	98	10.4	79
Si	2.496	0.531	2.121	53	17.926	83	10.3	91
Si	0.99	0.279	1.811	18	11.29	76	12.6	72
Si	6.075	2.367	9.919	34	6.45	71	18.5	72
Si	1.163	0.348	0.878	23	12.85	78	12.2	73
Si	0.807	0.308	1.198	39	8.84	74	13.1	84
Si	0.632	0.129	0.709	17	9	78	13.2	52
Si	1.22	0.481	1.964	28	7.8	61	11.1	49
Si	1.32	0.284	1.085	26	16.304	87	11.1	69
No	1.208	0.546	3.796	12	4.425	57	19.6	46
Si	0.632	0.222	0.702	14	9.55	64	14.1	58
Si	0.519	0.114	0.457	25	21.7	35	10.1	55
Si	3.466	0.64	3.095	20	13.8	87	17.5	82
Si	1.858	0.48	1.62	37	8.05	80	16.3	63
Si	0.878	0.2	0.706	16	8.74	62	11.6	48
Si	0.202	0.122	0.537	19	8.54	61	8.8	56
Si	0.502	0.104	0.347	11	6.2	63	11.7	35
Si	1.646	0.542	2.128	12	5.188	48	13.8	58
Si	0.805	0.287	1.376	67	11.66	74	14	72
Si	0.5	0.156	0.421	25	6.5	76	14.3	51
No	6.773	1.025	5.847	15	7.844	66	18	75
Si	0.377	0.181	0.653	15	7.15	61	17.8	53
Si	0.692	0.209	0.76	20	9.9	76	13.3	58
Si	20.192	3.81	14.971	45	18.42	80	11.9	72
Si	3.356	0.418	1.49	76	19.03	93	11.2	96
No	9.251	3.076	13.699	14	7.452	81	21.1	67
Si	0.443	0.151	0.453	5	14.08	57	10.2	46
Si	3.767	1.061	4.531	30	10.87	75	14.4	85
